DATA INCENDI,CODI COMARCA,COMARCA,CODI MUNICIPI,TERMEMUNIC,HAARBRADES,HANOARBRAD,HANOFOREST,HAFORESTAL,LOCALITZACIO,LATITUD,LONGITUD
16/04/2014,30,Ribera d'Ebre,431508,Tivissa,0.0,0.1,0.0,0.1,"Tivissa, Ribera d'Ebre, Catalunya",41.0416528,0.7331448
16/04/2014,22,Montsià,430141,Amposta,0.0,0.04,0.0,0.04,"Amposta, Montsià, Catalunya",40.7079905,0.5812561
17/04/2014,21,Maresme,82819,Teià,0.1,0.0,0.0,0.1,"Teià, Maresme, Catalunya",41.4994081,2.3205426
17/04/2014,33,Segrià,251207,Lleida,0.0,0.0,0.0,0.0,"Lleida, Segrià, Catalunya",41.6147605,0.6267842
24/04/2014,33,Segrià,252326,Torres de Segre,2.6,0.0,0.1,2.6,"Torres de Segre, Segrià, Catalunya",41.5352381,0.5135629
25/04/2014,12,Baix Penedès,430287,"Bisbal del Penedès, la",0.0,0.0,0.0,0.0,"Bisbal del Penedès, la, Baix Penedès, Catalunya",41.2788377,1.489352
27/04/2014,33,Segrià,252326,Torres de Segre,0.3,0.0,0.0,0.3,"Torres de Segre, Segrià, Catalunya",41.5352381,0.5135629
27/04/2014,13,Barcelonès,82457,Santa Coloma de Gramenet,0.0,0.0,0.0,0.0,"Santa Coloma de Gramenet, Barcelonès, Catalunya",41.4515626,2.2083371
28/04/2014,40,Vallès Occidental,80517,Castellar del Vallès,0.2,0.13,0.0,0.33,"Castellar del Vallès, Vallès Occidental, Catalunya",41.6138122,2.0875963
29/04/2014,33,Segrià,250788,Corbins,0.9,0.0,0.0,0.9,"Corbins, Segrià, Catalunya",41.6905677,0.6930804
29/04/2014,9,Baix Ebre,431554,Tortosa,0.01,0.0,0.0,0.01,"Tortosa, Baix Ebre, Catalunya",40.8110158,0.5209333
30/04/2014,23,Noguera,250083,Albesa,0.53,0.0,0.0,0.53,"Albesa, Noguera, Catalunya",41.7513409,0.6591801
01/05/2014,11,Baix Llobregat,80018,Abrera,0.0,0.01,0.0,0.01,"Abrera, Baix Llobregat, Catalunya",41.5204464,1.9024126
02/05/2014,40,Vallès Occidental,82798,Terrassa,0.0,0.0,0.0,0.0,"Terrassa, Vallès Occidental, Catalunya",41.5629623,2.0100492
02/05/2014,12,Baix Penedès,431378,Sant Jaume dels Domenys,0.0,0.1,0.0,0.1,"Sant Jaume dels Domenys, Baix Penedès, Catalunya",41.2988526,1.5585932
02/05/2014,16,Conca de Barberà,430542,"Espluga de Francolí, l'",0.1,0.0,0.0,0.1,"Espluga de Francolí, l', Conca de Barberà, Catalunya",41.4004742,1.1032654
02/05/2014,23,Noguera,250083,Albesa,1.9,0.0,0.0,1.9,"Albesa, Noguera, Catalunya",41.7513409,0.6591801
03/05/2014,33,Segrià,252115,Sudanell,1.68,1.0,0.3,2.68,"Sudanell, Segrià, Catalunya",41.556894,0.5669118
03/05/2014,11,Baix Llobregat,81141,Martorell,0.76,0.0,0.0,0.76,"Martorell, Baix Llobregat, Catalunya",41.4769177,1.9283971
03/05/2014,41,Vallès Oriental,81081,Lliçà de Vall,0.0,0.01,0.0,0.01,"Lliçà de Vall, Vallès Oriental, Catalunya",41.5915542,2.2422403
03/05/2014,16,Conca de Barberà,431763,Vimbodí i Poblet,0.1,0.0,0.0,0.1,"Vimbodí i Poblet, Conca de Barberà, Catalunya",41.3848171,1.0491469
04/05/2014,41,Vallès Oriental,81056,"Llagosta, la",0.04,0.0,0.0,0.04,"Llagosta, la, Vallès Oriental, Catalunya",41.5104344,2.1998592
05/05/2014,33,Segrià,252542,Vilanova de la Barca,0.0,0.03,0.0,0.03,"Vilanova de la Barca, Segrià, Catalunya",41.6895577,0.7288787
07/05/2014,7,Bages,81918,Sallent,0.0,0.18,0.0,0.18,"Sallent, Bages, Catalunya",41.8259065,1.8948758
07/05/2014,7,Bages,81825,"Pont de Vilomara i Rocafort, el",0.3,0.0,0.0,0.3,"Pont de Vilomara i Rocafort, el, Bages, Catalunya",41.7008286,1.8691118
07/05/2014,42,Moianès,82397,Sant Quirze Safaja,0.04,0.0,0.0,0.04,"Sant Quirze Safaja, Moianès, Catalunya",41.7276804,2.1548204
07/05/2014,6,Anoia,81614,Piera,0.0,0.14,0.0,0.14,"Piera, Anoia, Catalunya",41.5216923,1.7526335
08/05/2014,7,Bages,80121,Avinyó,0.82,0.0,0.63,0.82,"Avinyó, Bages, Catalunya",41.8630096,1.9707409
08/05/2014,20,Gironès,170792,Girona,0.0,0.02,0.0,0.02,"Girona, Gironès, Catalunya",41.9793006,2.8199439
08/05/2014,41,Vallès Oriental,81056,"Llagosta, la",2.35,0.45,0.39,2.8,"Llagosta, la, Vallès Oriental, Catalunya",41.5104344,2.1998592
08/05/2014,13,Barcelonès,80193,Barcelona,0.0,0.05,0.0,0.05,"Barcelona, Barcelonès, Catalunya",41.3825802,2.177073
08/05/2014,2,Alt Empordà,170160,Bàscara,0.0,0.0,0.0,0.0,"Bàscara, Alt Empordà, Catalunya",42.1591723,2.9092786
09/05/2014,11,Baix Llobregat,80692,Collbató,0.0,0.0,0.0,0.0,"Collbató, Baix Llobregat, Catalunya",41.570256,1.8285814
09/05/2014,28,Pla de l'Estany,171371,Porqueres,0.0,0.0,0.0,0.0,"Porqueres, Pla de l'Estany, Catalunya",42.1226823,2.7254945
09/05/2014,41,Vallès Oriental,80863,"Franqueses del Vallès, les",0.05,0.0,0.55,0.05,"Franqueses del Vallès, les, Vallès Oriental, Catalunya",41.6298517,2.2949726
09/05/2014,41,Vallès Oriental,80885,"Garriga, la",0.0,0.0,0.0,0.0,"Garriga, la, Vallès Oriental, Catalunya",41.688723,2.1654433
10/05/2014,28,Pla de l'Estany,170157,Banyoles,0.0,0.04,0.0,0.04,"Banyoles, Pla de l'Estany, Catalunya",42.1180477,2.7653607
10/05/2014,9,Baix Ebre,430252,Benifallet,0.0,0.65,0.0,0.65,"Benifallet, Baix Ebre, Catalunya",40.9740568,0.5157716
10/05/2014,41,Vallès Oriental,81982,Sant Antoni de Vilamajor,0.0,0.01,0.0,0.01,"Sant Antoni de Vilamajor, Vallès Oriental, Catalunya",41.6735604,2.4012202
